09274;Landshut;;LA, MAI, MAL, ROL, VIB; BY;Landshut[FN 2];162.170;1.347,55;120;
03457;Leer;;LER; NI;Leer (Ostfriesland);169.103;1.085,71;156;
14729;Leipzig;;L, BNA, GHA, GRM, MTL, WUR; SN;Borna;260.127;1.651,29;158;
09478;Lichtenfels;;LIF, STE; BY;Lichtenfels;67.379;519,92;130;
06533;Limburg-Weilburg;;LM, WEL; HE;Limburg an der Lahn;173.830;738,44;235;
09776;Lindau (Bodensee);;LI; BY;Lindau (Bodensee);82.411;323,38;255;
05766;Lippe;;LIP; NW;Detmold;347.149;1.246,19;279;
08336;Lörrach;;LÖ; BW;Lörrach;238.263;806,67;295;
03354;Lüchow-Dannenberg;;DAN; NI;Lüchow (Wendland);46.502;1.227,35;38;
08118;Ludwigsburg;;LB, VAI; BW;Ludwigsburg;535.374;686,77;780;
13076;Ludwigslust-Parchim;;LUP, HGN, LBZ, LWL, PCH, STB; MV;Parchim;208.092;4.766,76;44;
03355;Lüneburg;;LG; NI;Lüneburg;179.448;1.327,81;135;
06435;Main-Kinzig-Kreis;;MKK, HU, GN, SLÜ; HE;Gelnhausen;322.958;1.320,86;245;
09677;Main-Spessart;;MSP; BY;Karlstadt;125.282;1.321,19;95;
08128;Main-Tauber-Kreis;;TBB, MGH; BW;Tauberbischofsheim;133.169;1.304,12;102;
06436;Main-Taunus-Kreis;;MTK; HE;Hofheim am Taunus;238.775;222,52;1073;
07339;Mainz-Bingen;;MZ, BIN; RP;Ingelheim am Rhein;206.454;605,37;341;
15087;Mansfeld-Südharz;;MSH, EIL, HET, ML, SGH; ST;Sangerhausen;129.029;1.449,01;89;
06534;Marburg-Biedenkopf;;MR, BID; HE;Marburg;242.805;1.262,37;192;
05962;Märkischer Kreis;;MK; NW;Lüdenscheid;408.046;1.061,08;385;
12064;Märkisch-Oderland;;MOL, FRW, SEE, SRB; BB;Seelow;197.817;2.158,65;92;
07137;Mayen-Koblenz;;MYK, MY; RP;Koblenz[FN 2];217.228;817,67;266;
13071;Mecklenburgische Seenplatte;;MSE, AT, DM, MC, MST, MÜR, NZ, RM, WRN, (NB); MV;Neubrandenburg;246.318;5.495,59;45;
14627;Meißen;;MEI, GRH, RG, RIE; SN;Meißen;239.221;1.454,59;164;
10042;Merzig-Wadern;;MZG; SL;Merzig;108.779;556,66;195;
05158;Mettmann;;ME; NW;Mettmann;490.910;407,21;1206;
09182;Miesbach;;MB; BY;Miesbach;97.152;866,23;112;
09676;Miltenberg;;MIL, OBB; BY;Miltenberg;127.547;715,55;178;
05770;Minden-Lübbecke;;MI, LK; NW;Minden;320.557;1.152,42;278;
14522;Mittelsachsen;;FG, BED, DL, FLÖ, HC, MW, RL; SN;Freiberg;296.431;2.116,87;140;
09183;Mühldorf am Inn;;MÜ, VIB, WS; BY;Mühldorf am Inn;122.037;805,34;152;
09184;München;;M, AIB, MU, WOR; BY;München[FN 2];354.396;664,26;534;
08225;Neckar-Odenwald-Kreis;;MOS, BCH; BW;Mosbach;145.263;1.125,95;129;
09775;Neu-Ulm;;NU, ILL; BY;Neu-Ulm;183.595;515,84;356;
09185;Neuburg-Schrobenhausen;;ND, SOB; BY;Neuburg an der Donau;99.364;739,73;134;
09373;Neumarkt in der Oberpfalz;;NM, PAR; BY;Neumarkt in der Oberpfalz;138.693;1.343,94;103;
